PID: 5, exec_ticks: 127, current tickets: 8
PID: 5, exec_ticks: 128, current tickets: 8
PID: 5, exec_ticks: 129, current tickets: 8
PID: 5, exec_ticks: 130, current tickets: 8
PID: 5, exec_ticks: 131, current tickets: 8
PID: 5, exec_ticks: 132, current tickets: 8
PID: 5, exec_ticks: 133, current tickets: 8
PID: 5, exec_ticks: 134, current tickets: 8
PID: 5, exec_ticks: 135, current tickets: 8
PID: 5, exec_ticks: 136, current tickets: 8
PID: 5, exec_ticks: 137, current tickets: 8
PID: 5, exec_ticks: 138, current tickets: 8
PID: 5, exec_ticks: 139, current tickets: 8
PID: 5, exec_ticks: 140, current tickets: 8
PID: 5, exec_ticks: 141, current tickets: 8
PID: 5, exec_ticks: 142, current tickets: 8
PID: 5, exec_ticks: 143, current tickets: 8
PID: 5, exec_ticks: 144, current tickets: 8
PID: 5, exec_ticks: 145, current tickets: 8
PID: 5, exec_ticks: 146, current tickets: 8
PID: 5, exec_ticks: 147, current tickets: 8
PID: 5, exec_ticks: 148, current tickets: 8
PID: 1, exec_ticks: 120, current tickets: 7
PID: 2, exec_ticks: 112, current tickets: 7
PID: 7, exec_ticks: 89, current tickets: 11
PID: 1, exec_ticks: 121, current tickets: 7
PID: 2, exec_ticks: 113, current tickets: 7
PID: 7, exec_ticks: 90, current tickets: 11
PID: 1, exec_ticks: 122, current tickets: 7
PID: 2, exec_ticks: 114, current tickets: 7
PID: 7, exec_ticks: 91, current tickets: 11
PID: 1, exec_ticks: 123, current tickets: 7
PID: 2, exec_ticks: 115, current tickets: 7
PID: 7, exec_ticks: 92, current tickets: 11
PID: 1, exec_ticks: 124, current tickets: 7
PID: 2, exec_ticks: 116, current tickets: 7
PID: 7, exec_ticks: 93, current tickets: 11
PID: 1, exec_ticks: 125, current tickets: 7
PID: 2, exec_ticks: 117, current tickets: 7
PID: 7, exec_ticks: 94, current tickets: 11
PID: 1, exec_ticks: 126, current tickets: 7
PID: 2, exec_ticks: 118, current tickets: 7
PID: 7, exec_ticks: 95, current tickets: 11
PID: 1, exec_ticks: 127, current tickets: 7
PID: 2, exec_ticks: 119, current tickets: 7
PID: 7, exec_ticks: 96, current tickets: 11
PID: 1, exec_ticks: 128, current tickets: 7
PID: 2, exec_ticks: 120, current tickets: 7
PID: 7, exec_ticks: 97, current tickets: 11
PID: 1, exec_ticks: 129, current tickets: 7
PID: 2, exec_ticks: 121, current tickets: 7
PID: 7, exec_ticks: 98, current tickets: 11
PID: 4, exec_ticks: 26, current tickets: 3
PID: 4, exec_ticks: 27, current tickets: 3
PID: 4, exec_ticks: 28, current tickets: 3
PID: 4, exec_ticks: 29, current tickets: 3
PID: 4, exec_ticks: 30, current tickets: 3
PID: 4, exec_ticks: 31, current tickets: 3
PID: 1, exec_ticks: 130, current tickets: 7
PID: 2, exec_ticks: 122, current tickets: 7
PID: 7, exec_ticks: 99, current tickets: 11
PID: 1, exec_ticks: 131, current tickets: 7
PID: 2, exec_ticks: 123, current tickets: 7
PID: 7, exec_ticks: 100, current tickets: 11
PID: 1, exec_ticks: 132, current tickets: 7
PID: 2, exec_ticks: 124, current tickets: 7
PID: 7, exec_ticks: 101, current tickets: 11
PID: 1, exec_ticks: 133, current tickets: 7
PID: 2, exec_ticks: 125, current tickets: 7
